code,name,name_tv,gender,function,country_code,disciplines,events,birth_date
1560288,LIKUCEVA Laisana,Laisana LIKUCEVA,Female,Athlete,FIJ,['Rugby Sevens'],['Women'],1999-02-03
1560290,NAIMASI Ana Maria,Ana Maria NAIMASI,Female,Athlete,FIJ,['Rugby Sevens'],['Women'],1994-02-21
1560315,ROKOTUISIGA Maria,Maria ROKOTUISIGA,Female,Athlete,FIJ,['Rugby Sevens'],['Women'],2001-06-08
1560342,YEREMENKO Alexandr,Alexandr YEREMENKO,Male,Athlete,KAZ,['Archery'],"[""Men's Individual"", ""Men's Team""]",2004-07-09
1560348,TAU Michelle,Michelle TAU,Female,Athlete,LES,['Taekwondo'],['Women -49kg'],1997-04-01
1560376,HUSSEIN HASAN,HUSSEIN HASAN,Male,Athlete,IRQ,['Football'],['Men'],2003-10-05
1560451,AHMED HASAN,AHMED HASAN,Male,Athlete,IRQ,['Football'],['Men'],2001-09-24
1560538,BETTO Alice,Alice BETTO,Female,Athlete,ITA,['Triathlon'],"[""Women's Individual""]",1987-12-10
1560539,SEREGNI Bianca,Bianca SEREGNI,Female,Athlete,ITA,['Triathlon'],"[""Women's Individual""]",2000-03-22
1560540,STEINHAUSER Verena,Verena STEINHAUSER,Female,Athlete,ITA,['Triathlon'],"[""Women's Individual""]",1994-10-14
1560544,POZZATTI Gianluca,Gianluca POZZATTI,Male,Athlete,ITA,['Triathlon'],"[""Men's Individual""]",1993-07-22
1560546,CROCIANI Alessio,Alessio CROCIANI,Male,Athlete,ITA,['Triathlon'],"[""Men's Individual""]",2001-11-19
1560668,STRAKA Elisabeth,Elisabeth STRAKA,Female,Athlete,AUT,['Archery'],"[""Women's Individual""]",1999-08-29
1560669,DUDOVA Bilyana Zhivkova,Bilyana Zhivkova DUDOVA,Female,Athlete,BUL,['Wrestling'],"[""Women's Freestyle 62kg""]",1997-08-01
1560673,PILZ Jessica,Jessica PILZ,Female,Athlete,AUT,['Sport Climbing'],"[""Women's Boulder & Lead""]",1996-11-22
1560677,SCHUBERT Jakob,Jakob SCHUBERT,Male,Athlete,AUT,['Sport Climbing'],"[""Men's Boulder & Lead""]",1990-12-31
1560680,FILIMON Collins Valentine,Collins Valentine FILIMON,Male,Athlete,AUT,['Badminton'],"[""Men's Singles""]",1998-02-14
1560689,ABUSHARIB Saeed,Saeed ABUSHARIB,Male,Athlete,QAT,['Shooting'],['Trap Men'],1983-08-31
1560690,AL-ATHBA Rashid Saleh,Rashid Saleh AL-ATHBA,Male,Athlete,QAT,['Shooting'],['Skeet Men'],1987-10-18
1560705,HASHIMI Yulduz,Yulduz HASHIMI,Female,Athlete,AFG,['Cycling Road'],"[""Women's Road Race"", ""Women's Individual Time Trial""]",2000-07-08
1560712,YANEVA Yuliana Vasileva,Yuliana Vasileva YANEVA,Female,Athlete,BUL,['Wrestling'],"[""Women's Freestyle 76kg""]",1998-08-02
1560759,VILLA Giorgia,Giorgia VILLA,Female,Athlete,ITA,['Artistic Gymnastics'],"['Women', ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",2003-02-23
1560760,IORIO Elisa,Elisa IORIO,Female,Athlete,ITA,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",2003-03-21
1560761,ANDREOLI Angela,Angela ANDREOLI,Female,Athlete,ITA,['Artistic Gymnastics'],"['Women', ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",2006-06-06
